"Xloc","Yloc","Landuse","Rock"
0.3,1.7,"Pasture","Sequanian"
0.35,1.7,"Pasture","Sequanian"
0.35,1.75,"Pasture","Sequanian"
0.4,1.7,"Pasture","Kimmeridgian"
0.4,1.75,"Forest","Kimmeridgian"
0.4,1.8,"Forest","Kimmeridgian"
0.4,1.85,"Forest","Sequanian"
0.4,1.9,"Forest","Sequanian"
0.4,2.1,"Meadow","Argovian"
0.4,2.15,"Meadow","Argovian"
0.4,2.2,"Meadow","Argovian"
0.4,2.4,"Meadow","Argovian"
0.4,2.45,"Meadow","Argovian"
0.4,2.5,"Meadow","Argovian"
0.4,2.55,"Meadow","Argovian"
0.4,2.6,"Meadow","Argovian"
0.4,2.65,"Meadow","Argovian"
0.4,2.7,"Meadow","Argovian"
0.45,1.7,"Pasture","Kimmeridgian"
0.45,1.75,"Forest","Kimmeridgian"
0.45,1.8,"Forest","Kimmeridgian"
0.45,1.85,"Forest","Sequanian"
0.45,1.9,"Forest","Sequanian"
0.45,1.95,"Forest","Quaternary"
0.45,2.1,"Meadow","Argovian"
0.45,2.15,"Meadow","Argovian"
0.45,2.2,"Meadow","Argovian"
0.45,2.25,"Meadow","Argovian"
0.45,2.4,"Meadow","Argovian"
0.45,2.45,"Meadow","Argovian"
0.45,2.5,"Meadow","Argovian"
0.45,2.55,"Meadow","Argovian"
0.45,2.6,"Meadow","Argovian"
0.45,2.65,"Meadow","Argovian"
0.45,2.7,"Meadow","Argovian"
0.5,1.7,"Forest","Kimmeridgian"
0.5,1.75,"Forest","Kimmeridgian"
0.5,1.8,"Forest","Kimmeridgian"
0.5,1.85,"Forest","Kimmeridgian"
0.5,1.9,"Forest","Kimmeridgian"
0.5,1.95,"Forest","Quaternary"
0.5,2,"Forest","Quaternary"
0.5,2.05,"Forest","Quaternary"
0.5,2.1,"Forest","Argovian"
0.5,2.15,"Forest","Argovian"
0.5,2.2,"Forest","Argovian"
0.5,2.25,"Meadow","Argovian"
0.5,2.3,"Meadow","Argovian"
0.5,2.35,"Meadow","Argovian"
0.5,2.4,"Pasture","Argovian"
0.5,2.45,"Pasture","Argovian"
0.5,2.5,"Meadow","Argovian"
0.5,2.55,"Meadow","Argovian"
0.5,2.6,"Meadow","Argovian"
0.5,2.65,"Forest","Argovian"
0.5,2.7,"Forest","Argovian"
0.55,1.7,"Forest","Kimmeridgian"
0.55,1.75,"Forest","Kimmeridgian"
0.55,1.8,"Forest","Kimmeridgian"
0.55,1.85,"Forest","Kimmeridgian"
0.55,1.9,"Forest","Kimmeridgian"
0.55,1.95,"Forest","Kimmeridgian"
0.55,2,"Forest","Kimmeridgian"
0.55,2.05,"Forest","Kimmeridgian"
0.55,2.1,"Forest","Quaternary"
0.55,2.15,"Meadow","Argovian"
0.55,2.2,"Meadow","Argovian"
0.55,2.25,"Pasture","Argovian"
0.55,2.3,"Pasture","Argovian"
0.55,2.35,"Pasture","Argovian"
0.55,2.4,"Pasture","Argovian"
0.55,2.45,"Pasture","Argovian"
0.55,2.5,"Forest","Argovian"
0.55,2.55,"Forest","Argovian"
0.55,2.6,"Forest","Argovian"
0.55,2.65,"Forest","Argovian"
0.55,2.7,"Forest","Argovian"
0.6,1.6,"Meadow","Kimmeridgian"
0.6,1.65,"Meadow","Kimmeridgian"
0.6,1.7,"Forest","Kimmeridgian"
0.6,1.75,"Forest","Kimmeridgian"
0.6,1.8,"Forest","Kimmeridgian"
0.6,1.85,"Forest","Kimmeridgian"
0.6,1.9,"Forest","Kimmeridgian"
0.6,1.95,"Forest","Kimmeridgian"
0.6,2,"Forest","Kimmeridgian"
0.6,2.05,"Forest","Kimmeridgian"
0.6,2.1,"Forest","Quaternary"
0.6,2.15,"Meadow","Argovian"
0.6,2.2,"Meadow","Argovian"
0.6,2.25,"Pasture","Argovian"
0.6,2.3,"Pasture","Argovian"
0.6,2.35,"Pasture","Argovian"
0.6,2.4,"Pasture","Argovian"
0.6,2.45,"Pasture","Argovian"
0.6,2.5,"Forest","Argovian"
0.6,2.55,"Forest","Argovian"
0.6,2.6,"Forest","Argovian"
0.6,2.65,"Forest","Argovian"
0.6,2.7,"Forest","Argovian"
0.65,1.6,"Meadow","Kimmeridgian"
0.65,1.65,"Meadow","Kimmeridgian"
0.65,1.7,"Forest","Kimmeridgian"
0.65,1.75,"Forest","Kimmeridgian"
0.65,1.8,"Forest","Kimmeridgian"
0.65,1.85,"Forest","Kimmeridgian"
0.65,1.9,"Forest","Kimmeridgian"
0.65,1.95,"Forest","Kimmeridgian"
0.65,2,"Forest","Kimmeridgian"
0.65,2.05,"Forest","Kimmeridgian"
0.65,2.1,"Forest","Quaternary"
0.65,2.15,"Meadow","Argovian"
0.65,2.2,"Meadow","Argovian"
0.65,2.25,"Pasture","Argovian"
0.65,2.3,"Pasture","Argovian"
0.65,2.35,"Pasture","Argovian"
0.65,2.4,"Pasture","Argovian"
0.65,2.45,"Pasture","Argovian"
0.65,2.5,"Forest","Argovian"
0.65,2.55,"Forest","Argovian"
0.65,2.6,"Forest","Argovian"
0.65,2.65,"Forest","Argovian"
0.65,2.7,"Forest","Argovian"
0.7,1.6,"Forest","Kimmeridgian"
0.7,1.65,"Forest","Kimmeridgian"
0.7,1.7,"Forest","Kimmeridgian"
0.7,1.75,"Forest","Kimmeridgian"
0.7,1.8,"Forest","Sequanian"
0.7,1.85,"Forest","Kimmeridgian"
0.7,1.9,"Forest","Kimmeridgian"
0.7,1.95,"Forest","Kimmeridgian"
0.7,2,"Forest","Kimmeridgian"
0.7,2.05,"Pasture","Sequanian"
0.7,2.1,"Pasture","Sequanian"
0.7,2.15,"Pasture","Quaternary"
0.7,2.2,"Pasture","Quaternary"
0.7,2.25,"Pasture","Argovian"
0.7,2.3,"Pasture","Argovian"
0.7,2.35,"Pasture","Argovian"
0.7,2.4,"Pasture","Argovian"
0.7,2.45,"Pasture","Argovian"
0.7,2.5,"Forest","Argovian"
0.7,2.55,"Forest","Argovian"
0.7,2.6,"Forest","Argovian"
0.7,2.65,"Forest","Argovian"
0.7,2.7,"Forest","Argovian"
0.75,1.6,"Meadow","Sequanian"
0.75,1.65,"Meadow","Sequanian"
0.75,1.7,"Meadow","Sequanian"
0.75,1.75,"Meadow","Sequanian"
0.75,1.8,"Meadow","Sequanian"
0.75,1.85,"Forest","Kimmeridgian"
0.75,1.9,"Forest","Kimmeridgian"
0.75,1.95,"Meadow","Kimmeridgian"
0.75,2,"Meadow","Kimmeridgian"
0.75,2.05,"Pasture","Sequanian"
0.75,2.1,"Pasture","Sequanian"
0.75,2.15,"Pasture","Sequanian"
0.75,2.2,"Pasture","Sequanian"
0.75,2.25,"Pasture","Sequanian"
0.75,2.3,"Pasture","Quaternary"
0.75,2.35,"Pasture","Quaternary"
0.75,2.4,"Pasture","Argovian"
0.75,2.45,"Pasture","Argovian"
0.75,2.5,"Pasture","Argovian"
0.75,2.55,"Pasture","Argovian"
0.75,2.6,"Pasture","Argovian"
0.75,2.65,"Pasture","Argovian"
0.75,2.7,"Pasture","Argovian"
0.75,2.75,"Pasture","Argovian"
0.8,1.5,"Meadow","Sequanian"
0.8,1.55,"Meadow","Sequanian"
0.8,1.6,"Meadow","Sequanian"
0.8,1.65,"Meadow","Sequanian"
0.8,1.7,"Meadow","Sequanian"
0.8,1.75,"Meadow","Sequanian"
0.8,1.8,"Meadow","Sequanian"
0.8,1.85,"Forest","Kimmeridgian"
0.8,1.9,"Forest","Kimmeridgian"
0.8,1.95,"Meadow","Kimmeridgian"
0.8,2,"Meadow","Kimmeridgian"
0.8,2.05,"Meadow","Kimmeridgian"
0.8,2.1,"Pasture","Kimmeridgian"
0.8,2.15,"Pasture","Sequanian"
0.8,2.2,"Pasture","Sequanian"
0.8,2.25,"Pasture","Sequanian"
0.8,2.3,"Pasture","Quaternary"
0.8,2.35,"Pasture","Quaternary"
0.8,2.4,"Pasture","Argovian"
0.8,2.45,"Pasture","Argovian"
0.8,2.5,"Pasture","Argovian"
0.8,2.55,"Pasture","Argovian"
0.8,2.6,"Pasture","Argovian"
0.8,2.65,"Pasture","Argovian"
0.8,2.7,"Pasture","Argovian"
0.8,2.75,"Pasture","Argovian"
0.8,2.8,"Pasture","Argovian"
0.85,1.5,"Meadow","Sequanian"
0.85,1.55,"Meadow","Sequanian"
0.85,1.6,"Meadow","Sequanian"
0.85,1.65,"Meadow","Sequanian"
0.85,1.7,"Pasture","Sequanian"
0.85,1.75,"Meadow","Sequanian"
0.85,1.8,"Meadow","Sequanian"
0.85,1.85,"Meadow","Sequanian"
0.85,1.9,"Meadow","Sequanian"
0.85,1.95,"Pasture","Kimmeridgian"
0.85,2,"Pasture","Kimmeridgian"
0.85,2.05,"Pasture","Kimmeridgian"
0.85,2.1,"Pasture","Kimmeridgian"
0.85,2.15,"Pasture","Sequanian"
0.85,2.2,"Pasture","Sequanian"
0.85,2.25,"Pasture","Sequanian"
0.85,2.3,"Pasture","Sequanian"
0.85,2.35,"Pasture","Sequanian"
0.85,2.4,"Pasture","Quaternary"
0.85,2.45,"Pasture","Argovian"
0.85,2.5,"Pasture","Argovian"
0.85,2.55,"Pasture","Argovian"
0.85,2.6,"Pasture","Argovian"
0.85,2.65,"Pasture","Argovian"
0.85,2.7,"Pasture","Argovian"
0.85,2.75,"Pasture","Argovian"
0.85,2.8,"Forest","Argovian"
0.85,2.85,"Forest","Argovian"
0.9,1.4,"Meadow","Sequanian"
0.9,1.45,"Meadow","Sequanian"
0.9,1.5,"Meadow","Sequanian"
0.9,1.55,"Meadow","Sequanian"
0.9,1.6,"Meadow","Sequanian"
0.9,1.65,"Meadow","Sequanian"
0.9,1.7,"Pasture","Sequanian"
0.9,1.75,"Meadow","Sequanian"
0.9,1.8,"Meadow","Sequanian"
0.9,1.85,"Meadow","Sequanian"
0.9,1.9,"Meadow","Sequanian"
0.9,1.95,"Pasture","Kimmeridgian"
0.9,2,"Pasture","Kimmeridgian"
0.9,2.05,"Pasture","Kimmeridgian"
0.9,2.1,"Pasture","Kimmeridgian"
0.9,2.15,"Pasture","Sequanian"
0.9,2.2,"Pasture","Sequanian"
0.9,2.25,"Pasture","Sequanian"
0.9,2.3,"Pasture","Sequanian"
0.9,2.35,"Pasture","Sequanian"
0.9,2.4,"Pasture","Quaternary"
0.9,2.45,"Pasture","Argovian"
0.9,2.5,"Pasture","Argovian"
0.9,2.55,"Pasture","Argovian"
0.9,2.6,"Pasture","Argovian"
0.9,2.65,"Pasture","Argovian"
0.9,2.7,"Pasture","Argovian"
0.9,2.75,"Pasture","Argovian"
0.9,2.8,"Forest","Argovian"
0.9,2.85,"Forest","Argovian"
0.9,2.9,"Forest","Argovian"
0.95,1.4,"Meadow","Argovian"
0.95,1.45,"Meadow","Sequanian"
0.95,1.5,"Meadow","Sequanian"
0.95,1.55,"Meadow","Sequanian"
0.95,1.6,"Meadow","Sequanian"
0.95,1.65,"Meadow","Sequanian"
0.95,1.7,"Pasture","Sequanian"
0.95,1.75,"Meadow","Sequanian"
0.95,1.8,"Meadow","Sequanian"
0.95,1.85,"Pasture","Sequanian"
0.95,1.9,"Pasture","Sequanian"
0.95,1.95,"Pasture","Sequanian"
0.95,2,"Pasture","Sequanian"
0.95,2.05,"Pasture","Sequanian"
0.95,2.1,"Pasture","Kimmeridgian"
0.95,2.15,"Pasture","Sequanian"
0.95,2.2,"Pasture","Sequanian"
0.95,2.25,"Pasture","Sequanian"
0.95,2.3,"Pasture","Sequanian"
0.95,2.35,"Pasture","Sequanian"
0.95,2.4,"Pasture","Sequanian"
0.95,2.45,"Pasture","Sequanian"
0.95,2.5,"Pasture","Quaternary"
0.95,2.55,"Pasture","Argovian"
0.95,2.6,"Pasture","Argovian"
0.95,2.65,"Pasture","Argovian"
0.95,2.7,"Pasture","Argovian"
0.95,2.75,"Pasture","Argovian"
0.95,2.8,"Forest","Argovian"
0.95,2.85,"Forest","Argovian"
0.95,2.9,"Pasture","Argovian"
0.95,2.95,"Meadow","Argovian"
1,1.3,"Meadow","Argovian"
1,1.35,"Meadow","Argovian"
1,1.4,"Meadow","Argovian"
1,1.45,"Meadow","Sequanian"
1,1.5,"Meadow","Sequanian"
1,1.55,"Meadow","Sequanian"
1,1.6,"Meadow","Sequanian"
1,1.65,"Meadow","Sequanian"
1,1.7,"Pasture","Sequanian"
1,1.75,"Pasture","Sequanian"
1,1.8,"Pasture","Sequanian"
1,1.85,"Pasture","Sequanian"
1,1.9,"Pasture","Sequanian"
1,1.95,"Pasture","Sequanian"
1,2,"Pasture","Sequanian"
1,2.05,"Pasture","Sequanian"
1,2.1,"Pasture","Kimmeridgian"
1,2.15,"Pasture","Kimmeridgian"
1,2.2,"Pasture","Kimmeridgian"
1,2.25,"Pasture","Kimmeridgian"
1,2.3,"Meadow","Sequanian"
1,2.35,"Meadow","Sequanian"
1,2.4,"Pasture","Sequanian"
1,2.45,"Pasture","Sequanian"
1,2.5,"Pasture","Quaternary"
1,2.55,"Pasture","Argovian"
1,2.6,"Pasture","Argovian"
1,2.65,"Pasture","Argovian"
1,2.7,"Pasture","Argovian"
1,2.75,"Pasture","Argovian"
1,2.8,"Pasture","Argovian"
1,2.85,"Pasture","Argovian"
1,2.9,"Pasture","Argovian"
1,2.95,"Meadow","Argovian"
1,3,"Meadow","Argovian"
1.05,1.3,"Meadow","Argovian"
1.05,1.35,"Meadow","Argovian"
1.05,1.4,"Meadow","Argovian"
1.05,1.45,"Meadow","Sequanian"
1.05,1.5,"Meadow","Sequanian"
1.05,1.55,"Meadow","Sequanian"
1.05,1.6,"Meadow","Sequanian"
1.05,1.65,"Meadow","Sequanian"
1.05,1.7,"Pasture","Sequanian"
1.05,1.75,"Pasture","Sequanian"
1.05,1.8,"Pasture","Sequanian"
1.05,1.85,"Pasture","Sequanian"
1.05,1.9,"Pasture","Sequanian"
1.05,1.95,"Pasture","Sequanian"
1.05,2,"Pasture","Sequanian"
1.05,2.05,"Pasture","Sequanian"
1.05,2.1,"Pasture","Kimmeridgian"
1.05,2.15,"Pasture","Kimmeridgian"
1.05,2.2,"Pasture","Kimmeridgian"
1.05,2.25,"Pasture","Kimmeridgian"
1.05,2.3,"Meadow","Sequanian"
1.05,2.35,"Meadow","Sequanian"
1.05,2.4,"Pasture","Sequanian"
1.05,2.45,"Pasture","Sequanian"
1.05,2.5,"Pasture","Quaternary"
1.05,2.55,"Pasture","Argovian"
1.05,2.6,"Pasture","Argovian"
1.05,2.65,"Pasture","Argovian"
1.05,2.7,"Pasture","Argovian"
1.05,2.75,"Pasture","Argovian"
1.05,2.8,"Pasture","Argovian"
1.05,2.85,"Pasture","Argovian"
1.05,2.9,"Pasture","Argovian"
1.05,2.95,"Meadow","Argovian"
1.05,3,"Meadow","Argovian"
1.05,3.05,"Meadow","Argovian"
1.1,0.7,"Meadow","Sequanian"
1.1,1.2,"Meadow","Argovian"
1.1,1.25,"Meadow","Argovian"
1.1,1.3,"Meadow","Argovian"
1.1,1.35,"Meadow","Argovian"
1.1,1.4,"Meadow","Argovian"
1.1,1.45,"Pasture","Sequanian"
1.1,1.5,"Pasture","Sequanian"
1.1,1.55,"Pasture","Sequanian"
1.1,1.6,"Pasture","Sequanian"
1.1,1.65,"Pasture","Sequanian"
1.1,1.7,"Pasture","Sequanian"
1.1,1.75,"Pasture","Sequanian"
1.1,1.8,"Pasture","Sequanian"
1.1,1.85,"Pasture","Sequanian"
1.1,1.9,"Pasture","Sequanian"
1.1,1.95,"Pasture","Sequanian"
1.1,2,"Pasture","Sequanian"
1.1,2.05,"Meadow","Sequanian"
1.1,2.1,"Meadow","Sequanian"
1.1,2.15,"Pasture","Kimmeridgian"
1.1,2.2,"Pasture","Kimmeridgian"
1.1,2.25,"Meadow","Kimmeridgian"
1.1,2.3,"Meadow","Kimmeridgian"
1.1,2.35,"Meadow","Kimmeridgian"
1.1,2.4,"Meadow","Kimmeridgian"
1.1,2.45,"Meadow","Kimmeridgian"
1.1,2.5,"Meadow","Sequanian"
1.1,2.55,"Meadow","Quaternary"
1.1,2.6,"Meadow","Quaternary"
1.1,2.65,"Meadow","Argovian"
1.1,2.7,"Meadow","Argovian"
1.1,2.75,"Meadow","Argovian"
1.1,2.8,"Pasture","Argovian"
1.1,2.85,"Pasture","Argovian"
1.1,2.9,"Pasture","Argovian"
1.1,2.95,"Pasture","Argovian"
1.1,3,"Meadow","Argovian"
1.1,3.05,"Meadow","Argovian"
1.1,3.1,"Meadow","Argovian"
1.15,0.7,"Meadow","Sequanian"
1.15,0.75,"Meadow","Sequanian"
1.15,1.2,"Meadow","Argovian"
1.15,1.25,"Meadow","Argovian"
1.15,1.3,"Meadow","Argovian"
1.15,1.35,"Meadow","Argovian"
1.15,1.4,"Meadow","Argovian"
1.15,1.45,"Pasture","Sequanian"
1.15,1.5,"Pasture","Sequanian"
1.15,1.55,"Pasture","Sequanian"
1.15,1.6,"Pasture","Sequanian"
1.15,1.65,"Pasture","Sequanian"
1.15,1.7,"Pasture","Sequanian"
1.15,1.75,"Pasture","Sequanian"
1.15,1.8,"Pasture","Sequanian"
1.15,1.85,"Pasture","Sequanian"
1.15,1.9,"Pasture","Sequanian"
1.15,1.95,"Pasture","Sequanian"
1.15,2,"Pasture","Sequanian"
1.15,2.05,"Meadow","Sequanian"
1.15,2.1,"Meadow","Sequanian"
1.15,2.15,"Pasture","Kimmeridgian"
1.15,2.2,"Pasture","Kimmeridgian"
1.15,2.25,"Meadow","Kimmeridgian"
1.15,2.3,"Meadow","Kimmeridgian"
1.15,2.35,"Meadow","Kimmeridgian"
1.15,2.4,"Meadow","Kimmeridgian"
1.15,2.45,"Meadow","Kimmeridgian"
1.15,2.5,"Meadow","Sequanian"
1.15,2.55,"Meadow","Quaternary"
1.15,2.6,"Meadow","Quaternary"
1.15,2.65,"Meadow","Argovian"
1.15,2.7,"Meadow","Argovian"
1.15,2.75,"Meadow","Argovian"
1.15,2.8,"Pasture","Argovian"
1.15,2.85,"Pasture","Argovian"
1.15,2.9,"Pasture","Argovian"
1.15,2.95,"Pasture","Argovian"
1.15,3,"Meadow","Argovian"
1.15,3.05,"Meadow","Argovian"
1.15,3.1,"Meadow","Argovian"
1.15,3.15,"Meadow","Argovian"
1.2,0.6,"Tillage","Quaternary"
1.2,0.65,"Tillage","Quaternary"
1.2,0.7,"Tillage","Argovian"
1.2,0.75,"Tillage","Argovian"
1.2,0.8,"Meadow","Argovian"
1.2,0.85,"Meadow","Argovian"
1.2,0.9,"Meadow","Argovian"
1.2,0.95,"Meadow","Argovian"
1.2,1,"Meadow","Argovian"
1.2,1.05,"Meadow","Argovian"
1.2,1.1,"Forest","Argovian"
1.2,1.15,"Forest","Argovian"
1.2,1.2,"Forest","Argovian"
1.2,1.25,"Forest","Argovian"
1.2,1.3,"Forest","Quaternary"
1.2,1.35,"Pasture","Argovian"
1.2,1.4,"Pasture","Argovian"
1.2,1.45,"Pasture","Sequanian"
1.2,1.5,"Pasture","Sequanian"
1.2,1.55,"Pasture","Sequanian"
1.2,1.6,"Pasture","Sequanian"
1.2,1.65,"Pasture","Sequanian"
1.2,1.7,"Pasture","Sequanian"
1.2,1.75,"Pasture","Sequanian"
1.2,1.8,"Pasture","Sequanian"
1.2,1.85,"Meadow","Sequanian"
1.2,1.9,"Meadow","Sequanian"
1.2,1.95,"Pasture","Sequanian"
1.2,2,"Pasture","Sequanian"
1.2,2.05,"Meadow","Sequanian"
1.2,2.1,"Meadow","Sequanian"
1.2,2.15,"Meadow","Quaternary"
1.2,2.2,"Meadow","Quaternary"
1.2,2.25,"Meadow","Kimmeridgian"
1.2,2.3,"Meadow","Kimmeridgian"
1.2,2.35,"Meadow","Kimmeridgian"
1.2,2.4,"Meadow","Kimmeridgian"
1.2,2.45,"Meadow","Kimmeridgian"
1.2,2.5,"Meadow","Kimmeridgian"
1.2,2.55,"Meadow","Sequanian"
1.2,2.6,"Meadow","Sequanian"
1.2,2.65,"Meadow","Sequanian"
1.2,2.7,"Meadow","Sequanian"
1.2,2.75,"Meadow","Sequanian"
1.2,2.8,"Meadow","Argovian"
1.2,2.85,"Meadow","Argovian"
1.2,2.9,"Meadow","Argovian"
1.2,2.95,"Meadow","Argovian"
1.2,3,"Meadow","Argovian"
1.2,3.05,"Meadow","Argovian"
1.2,3.1,"Meadow","Argovian"
1.2,3.15,"Meadow","Argovian"
1.2,3.2,"Meadow","Argovian"
1.25,0.6,"Tillage","Quaternary"
1.25,0.65,"Tillage","Quaternary"
1.25,0.7,"Tillage","Argovian"
1.25,0.75,"Tillage","Argovian"
1.25,0.8,"Tillage","Argovian"
1.25,0.85,"Tillage","Argovian"
1.25,0.9,"Tillage","Argovian"
1.25,0.95,"Tillage","Argovian"
1.25,1,"Meadow","Argovian"
1.25,1.05,"Meadow","Argovian"
1.25,1.1,"Meadow","Argovian"
1.25,1.15,"Meadow","Argovian"
1.25,1.2,"Forest","Quaternary"
1.25,1.25,"Forest","Argovian"
1.25,1.3,"Forest","Argovian"
1.25,1.35,"Meadow","Quaternary"
1.25,1.4,"Meadow","Quaternary"
1.25,1.45,"Meadow","Quaternary"
1.25,1.5,"Meadow","Quaternary"
1.25,1.55,"Meadow","Quaternary"
1.25,1.6,"Meadow","Sequanian"
1.25,1.65,"Meadow","Sequanian"
1.25,1.7,"Pasture","Sequanian"
1.25,1.75,"Pasture","Sequanian"
1.25,1.8,"Meadow","Sequanian"
1.25,1.85,"Meadow","Sequanian"
1.25,1.9,"Meadow","Sequanian"
1.25,1.95,"Pasture","Sequanian"
1.25,2,"Pasture","Sequanian"
1.25,2.05,"Pasture","Sequanian"
1.25,2.1,"Meadow","Sequanian"
1.25,2.15,"Pasture","Sequanian"
1.25,2.2,"Pasture","Sequanian"
1.25,2.25,"Meadow","Kimmeridgian"
1.25,2.3,"Meadow","Kimmeridgian"
1.25,2.35,"Meadow","Kimmeridgian"
1.25,2.4,"Meadow","Kimmeridgian"
1.25,2.45,"Meadow","Kimmeridgian"
1.25,2.5,"Meadow","Kimmeridgian"
1.25,2.55,"Meadow","Sequanian"
1.25,2.6,"Meadow","Sequanian"
1.25,2.65,"Meadow","Sequanian"
1.25,2.7,"Meadow","Sequanian"
1.25,2.75,"Meadow","Sequanian"
1.25,2.8,"Meadow","Sequanian"
1.25,2.85,"Meadow","Sequanian"
1.25,2.9,"Meadow","Argovian"
1.25,2.95,"Meadow","Argovian"
1.25,3,"Meadow","Argovian"
1.25,3.05,"Meadow","Argovian"
1.25,3.1,"Pasture","Argovian"
1.25,3.15,"Meadow","Argovian"
1.25,3.2,"Meadow","Argovian"
1.3,0.6,"Tillage","Quaternary"
1.3,0.65,"Tillage","Quaternary"
1.3,0.7,"Tillage","Argovian"
1.3,0.75,"Tillage","Argovian"
1.3,0.8,"Tillage","Argovian"
1.3,0.85,"Tillage","Argovian"
1.3,0.9,"Tillage","Argovian"
1.3,0.95,"Tillage","Argovian"
1.3,1,"Meadow","Argovian"
1.3,1.05,"Meadow","Argovian"
1.3,1.1,"Meadow","Argovian"
1.3,1.15,"Meadow","Argovian"
1.3,1.2,"Forest","Quaternary"
1.3,1.25,"Forest","Argovian"
1.3,1.3,"Forest","Argovian"
1.3,1.35,"Meadow","Quaternary"
